starID,SOURCE_ID,original_ext_source_id,angular_distance,xm_flag,allwise_oid,number_of_neighbours,number_of_mates,allwise_oid_2,designation,ra,dec,ra_error,dec_error,radec_co_error,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,cc_flags,ext_flag,var_flag,ph_qual,w1mjd_mean,w2mjd_mean,w3mjd_mean,w4mjd_mean,w1gmag,w1gmag_error,w2gmag,w2gmag_error,w3gmag,w3gmag_error,w4gmag,w4gmag_error,tmass_key
307981178401165184,307981178401165184,J010942.07+275701.7,0.013874219,8,546338808,1,0,546338808,J010942.07+275701.7,17.4253127,27.9504961,0.0315,0.0311,0.003,9.342,0.023,8.889,0.021,6.178,0.016,5.0,0.028,0000,1,8883,AAAA,55416.14841209,55348.58596806,55307.47479044,55307.47479044,,,,,,,,,110719984
69840879814047872,69840879814047872,J034504.02+251527.7,0.013651154,8,531517661,1,0,531517661,J034504.02+251527.7,56.2667766,25.2577183,0.0376,0.0347,0.0088,9.01,0.022,9.028,0.021,8.926,0.036,8.099,,0000,0,110n,AAAU,55325.88547504,55325.88547504,55240.19438554,55240.19438554,,,,,,,,,859796848
