starID,SOURCE_ID,clean_apassdr9_oid,original_ext_source_id,angular_distance,number_of_neighbours,number_of_mates,xm_flag,recno,raj2000,dej2000,e_ra,e_dec,field,nobs,mobs,b_v,e_b_v,vmag,e_vmag,u_e_vmag,bmag,e_bmag,u_e_bmag,g_mag,e_g_mag,u_e_g_mag,r_mag,e_r_mag,u_e_r_mag,i_mag,e_i_mag,u_e_i_mag
307981178401165184,307981178401165184,44223025,2085573,0.07932602753731947,1,0,8,2085573,17.425344,27.95048,0.303,0.068,20121312,20,97,0.784,0.393,11.757,0.268,0,12.541,0.287,0,12.103,0.306,0,11.521,0.254,0,11.303,0.229,0
69840879814047872,69840879814047872,43407799,245719,0.1536109075131345,1,0,8,245719,56.266836,25.257687,0.558,0.135,20121203,3,15,0.675,0.06,10.785,0.05,0,11.459,0.034,0,11.09,0.03,0,10.55,0.011,0,10.356,0.044,0
