starID,source_id,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,flag
307981178401165184,307981178401165184,184.72064,183.43092,185.70685,184.7479,183.94348,185.72444,10033
69840879814047872,69840879814047872,134.10239,133.75655,134.48224,133.93391,133.59196,134.22229,10033
2898239468873596800,2898239468873596800,21.884634,21.876787,21.894012,21.883808,21.874752,21.892786,10033
