starID,teff,tefferr,logg,loggerr,feh,feherr,source,Av,Averr,StarName,d,derr
307981178401165184,5350.000000,150.000000,4.200000,0.200000,-0.300000,0.050000,Pastel,,,V* RZ Psc,184.747900,0.890500
69840879814047872,5718.400000,25.500000,4.474000,0.020000,0.029100,0.008900,Simbad,,,2MASS J03450400+2515282,133.933900,0.315200
2898239468873596800,5873.000000,18.000000,4.410000,0.040000,0.070000,0.020000,Pastel,,,HD 45184,21.883800,0.009000
