starID,modelteff,modellogg,modelfeh,teff,tefferr,logg,loggerr,feh,feherr,d,derr,Av,Averr,ScaleF,ScaleFerr,Fbol,Fbolerr,angRad,angRaderr,lumi,lumierr,radius,radiuserr,ModelIndex,Redchi,RelDiff,npoint,JumpBy
2898239468873596800,5750.000,4.500,0.000,5873.000,18.000,4.410,0.040,0.070,0.020,21.88380,0.00900,-0.05806,0.03442,-17.92885,0.01221,7.30424e-08,2.05435e-09,0.22387,0.00315,0.03636,0.01222,1.05359,0.01482,13821,2.88185,0.00087,9,DiffMet
307981178401165184,5250.000,4.000,-0.250,5350.000,150.000,4.200,0.200,-0.300,0.050,184.74790,0.89050,-0.06931,0.02763,-19.80142,0.00782,6.80702e-10,1.22583e-11,0.02592,0.00023,-0.14134,0.00887,1.03001,0.01052,12713,0.70022,0.00046,5,DiffMet
69840879814047872,5750.000,4.500,0.000,5718.400,25.500,4.474,0.020,0.029,0.009,133.93390,0.31520,0.18557,0.01034,-19.57336,0.00315,1.65602e-09,1.20061e-11,0.03371,0.00012,-0.03461,0.00375,0.97092,0.00420,13821,0.20282,0.00063,14,DiffMet
