starID,modelteff,modellogg,teff,tefferr,logg,loggerr,feh,feherr,d,derr,Av,Averr,ScaleF,ScaleFerr,Fbol,Fbolerr,angRad,angRaderr,lumi,lumierr,lumibol,lumibolerr,radius,radiuserr,angRadbol,angRadbolerr,radiusbol,radiusbolerr,Redchi
2898239468873596800,5880.000,4.500,5873.000,18.000,4.410,0.040,0.070,0.020,21.88380,0.00900,0.04023,0.03302,-17.93550,0.01172,7.85959e-08,2.12034e-09,0.22216,0.00300,0.06883,0.01287,0.06819,0.01172,1.04555,0.01411,0.22264,0.00330,1.04778,0.01553,2.65146
307981178401165184,5355.000,4.250,5350.000,150.000,4.200,0.200,-0.300,0.050,184.74790,0.89050,0.01832,0.02552,-19.81000,0.00722,7.21689e-10,1.20042e-11,0.02567,0.00021,-0.11478,0.04942,-0.11595,0.00835,1.01989,0.00980,0.02571,0.00146,1.02145,0.05811,0.59739
69840879814047872,5720.000,4.500,5718.400,25.500,4.474,0.020,0.029,0.009,133.93390,0.31520,0.16264,0.01046,-19.57120,0.00318,1.62896e-09,1.19363e-11,0.03379,0.00012,-0.03968,0.00862,-0.04177,0.00378,0.97334,0.00424,0.03381,0.00033,0.97379,0.00966,0.20719
